actor_name,character_name,job,film_id
Jennifer Connelly,Alicia Nash,,2
Vivien Cardone,Marcee,,2
Taraji P. Henson,Katherine G. Johnson,,3
Octavia Spencer,Dorothy Vaughan,,3
Janelle Monáe,Mary Jackson,,3
Kirsten Dunst,Vivian Mitchell,,3
Keira Knightley,Joan Clarke,,4
Laura Dern,Ellie,,5
Zoe Saldana,Neytiri ,,6
Sigourney Weaver,Dr. Grace Augustine,,6
Renée Zellweger,Bridget Jones,,7
Gemma Jones,Bridget's Mum,,7
Shirley Henderson,Jude,,7
Sally Phillips,Shazza,,7
Mila Kunis,Jamie,,8
Patricia Clarkson,Lorna,,8
Jenna Elfman,Annie,,9
Emma Watson,Mae,,9
Karen Gillan,Annie,,9
Glenne Headly,Bonnie,,10
Minnie Driver,Skylar,,10
Claire Foy,Janet Armstrong,,11
Olivia Hamilton,Pat White,,11
Devika Bhise,Janaki,,12
Arundathi Nag,Komalatammal,,12
Felicity Jones,Jane Hawking,,13
Maxine Peake,Elaine Mason,,13
Gwyneth Paltrow,Pepper Potts,,14
Leslie Bibb,Christine Everhart,,14
Judi Dench,M,,15
Naomie Harris,Eve,,15
Helen McCrory,Clair Dowar MP,,15
